mgnet	weight	node_i	node_j	link_type	crossing_communities	source_i	type_i	path_taxs_i	kingdom_i	phylum_i	class_i	order_i	family_i	genus_i	species_gtdb_i	human_gut_i	is_from_gut_i	group_amr_i	biocide_class_amr_i	class_amr_i	cluster_representative_i	cluster_version_i	metal_class_amr_i	resistance_type_i	source_j	type_j	path_taxs_j	kingdom_j	phylum_j	class_j	order_j	family_j	genus_j	species_gtdb_j	human_gut_j	is_from_gut_j	group_amr_j	biocide_class_amr_j	class_amr_j	cluster_representative_j	cluster_version_j	metal_class_amr_j	resistance_type_j
mOTU-ResFinder	0.650852175994188	Acetobacterium dehalogenans	pan_1797	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1239;186801;186802;186806;33951;82116	Bacteria	Bacillota	Clostridia	Eubacteriales	Eubacteriaceae	Acetobacterium	s__Acetobacterium dehalogenans	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6178761404415443	Acidovorax sp. GW-H	pan_1477	mOTU-ResFinder	TRUE	mOTU	mOTU	2;1224;28216;80840;80864;12916;1813946	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	s__Acidovorax sp001633105	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.701094355334534	Acidovorax sp. JHL-	pan_1477	mOTU-ResFinder	TRUE	mOTU	mOTU	2;1224;28216;80840;80864;12916;1276755	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	s__Acidovorax soli	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6083982150071843	Acidovorax sp. JHL-	pan_1797	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;28216;80840;80864;12916;1276755	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	s__Acidovorax soli	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.614355843797558	Acidovorax sp. JHL-	pan_3560	mOTU-ResFinder	TRUE	mOTU	mOTU	2;1224;28216;80840;80864;12916;1276755	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	s__Acidovorax soli	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6079641640007597	Acidovorax sp. NO-	pan_1477	mOTU-ResFinder	TRUE	mOTU	mOTU	2;1224;28216;80840;80864;12916;512030	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	s__Acidovorax facilis	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6194102294773325	Acidovorax sp. NO-	pan_6440	mOTU-ResFinder	TRUE	mOTU	mOTU	2;1224;28216;80840;80864;12916;512030	Bacteria	Pseudomonadota	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	s__Acidovorax facilis	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	aminoglycoside	pan_6440_v1.0.1	v1.0.1	NA	antimicrobial
mOTU-ResFinder	0.6459486767567555	Acinetobacter albensis [Acinetobacter sp. TTH-/Acinetobacter albensis]	pan_1477	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1673609	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter albensis	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.629915747727093	Acinetobacter albensis [Acinetobacter sp. TTH-/Acinetobacter albensis]	pan_3560	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;1673609	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter albensis	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
mOTU-ResFinder	0.6004407643159337	Acinetobacter beijerinckii	pan_2471	mOTU-ResFinder	FALSE	mOTU	mOTU	2;1224;1236;72274;468;469;262668	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	s__Acinetobacter beijerinckii	NA	FALSE	NA	NA	NA	NA	NA	NA	NA	amr	ResFinder	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	ResFinder	NA	NA	NA	NA	NA	NA
